Altium Designer Pick and Place Locations
C:\Users\akkoyun\Documents\Electronic_Modules\Modules [B]\B1XX - IoT Segment\B108 - WeatherStat V4 IoT Module\B108AA\Output\2023-06-09\Pick Place\Pick Place for B108AA.txt

========================================================================================================================
File Design Information:

Date:       09.06.23
Time:       15:50
Revision:   fafced40923e925215cc636a67ac4a126b41e9d9
Variant:    No variations
Units used: mil

Designator Comment                               Layer       Footprint                      Center-X(mil) Center-Y(mil) Rotation Description                                                                                        
J12        "2P SMD Tunic Connector"              TopLayer    Connector_Tunic_2P             -2419.291     4251.968      270      "Mini Tunic Connector with 2P"                                                                     
C46        "Capacitor - 1uF [0603] (Ceramic)"    TopLayer    CAPACITOR_0603                 -1692.914     3956.693      90       "Multilayer Ceramic Capacitors - SMD - 25V 1uF X7R 0603 10%"                                       
R108       "10K - 0402 - %1 - 1/16W"             TopLayer    RESISTOR_0402                  -2047.244     4242.126      180      "Thick Film Resistors - SMD 1/16 W 10 KOhm 1%"                                                     
R107       "10K - 0402 - %1 - 1/16W"             TopLayer    RESISTOR_0402                  -2047.244     4281.496      180      "Thick Film Resistors - SMD 1/16 W 10 KOhm 1%"                                                     
X1         ABMM2-7.3728MHZ-E2-T                  TopLayer    CRYSTAL_-_7.3728_MHz           -472.441      4212.598      270      "CRYSTAL 7.3728MHZ 18PF SMD"                                                                       
U24        "Power Switch"                        TopLayer    SOT-23-6                       -787.402      4370.079      90       "Power Switch MosFet"                                                                              
U23        FT234XD-R                             BottomLayer FT234XD-R                      -472.441      4251.968      180      "USB Interface IC USB to Serial UART Interface"                                                    
U22        NCP612SQ30T2G                         TopLayer    SOT-23-5                       1614.173      4448.819      0        "LDO Voltage Regulators ACMOS1 LDO REGULATOR"                                                      
U21        SN74AXCH8T245PWR                      TopLayer    TSSOP-24                       708.661       3267.716      270      "Translation - Voltage Levels 8-Bit Dual-Supply Bus Transceiver 24-TSSOP -40 to 125"               
U20        "LE910S1-EAG LTE GSM Module"          TopLayer    LE910_GSM_Modem                1811.023      3818.897      90       "Telit LE910S1-EAG GPRS/GNSS Module"                                                               
U19        "LDO Regulator"                       TopLayer    DDPAK-5                        748.032       3991.398      180      "LDO Voltage Regulators 3A L Drop Reg for uP Applications"                                         
U18        "LDO Regulator"                       TopLayer    TO-252                         -1023.622     4245.374      180      "LDO Voltage Regulators 800MA LDO LINEAR REG"                                                      
U17        TPL5111DDCR                           TopLayer    SOT-23-6                       -787.402      4055.118      90       "NANO-POWER SYSTEM TIMER FOR POWE"                                                                 
U16        TPS61088RHLR                          TopLayer    VQFN-20                        -1377.953     4133.858      270      "Switching Voltage Regulators 10-A Fully-Integrated Synchronous Boost Converter 20-VQFN -40 to 85" 
U15        BQ24298RTWT                           TopLayer    WQFN-24                        -1850.394     4291.338      0        "I2C Controlled 3A Single Cell Charger"                                                            
U14        MAX17055ETB+T                         TopLayer    TDFN-10                        -2047.244     4133.858      270      "IC FUEL GAUGE MODELGAUGE 10TDFN"                                                                  
U13        ATMEGA2560V-8AU                       TopLayer    TQFP-100                       118.110       4212.598      270      "ATmega Series 256 KB Flash 8 KB SRAM 8 MHz 8-Bit Microcontroller - TQFP-100"                      
U12        SDP810-500PA                          TopLayer    SDP810-500PA                   787.402       2362.205      90       "Board Mount Pressure Sensors Tube Connection, I2C , 500Pa"                                        
U11        SDP810-500PA                          TopLayer    SDP810-500PA                   0.000         2362.205      90       "Board Mount Pressure Sensors Tube Connection, I2C , 500Pa"                                        
U10        SDP810-500PA                          TopLayer    SDP810-500PA                   -787.402      2362.205      90       "Board Mount Pressure Sensors Tube Connection, I2C , 500Pa"                                        
U9         MPL3115A2R1                           BottomLayer MPL3115A2                      393.701       393.701       180      "Board Mount Pressure Sensors"                                                                     
U8         Si1145-A10-GMR                        BottomLayer SI1145                         0.000         0.000         180      "Proximity Sensors I2C UV Index and Proximity/Ambient Light Sensor with 1 LED Driver"              
U7         DS28CM00R-A00+T                       BottomLayer SOT-23-5                       -393.701      393.701       180      "Security ICs / Authentication ICs I C/SMBus Silicon Serial Number"                                
U6         TCA9548APWR                           TopLayer    TSSOP-24                       -275.591      1377.953      90       "TEXAS INSTRUMENTS - TCA9548APWR - I2C SWITCH W/ RESET, 8-CH, TSSOP-24"                            
U5         "RS485 Modulator"                     TopLayer    SOP-8L_(AZRS3080E)             -2066.929     2421.260      270      "RS-422/RS-485 Interface IC Low-Power, Slew-Rate-Limited RS-485/RS-422 Transceivers"               
U4         "RS485 Modulator"                     TopLayer    SOP-8L_(AZRS3080E)             2066.929      2421.260      270      "RS-422/RS-485 Interface IC Low-Power, Slew-Rate-Limited RS-485/RS-422 Transceivers"               
U3         "RS485 Modulator"                     TopLayer    SOP-8L_(AZRS3080E)             -1476.378     2421.260      270      "RS-422/RS-485 Interface IC Low-Power, Slew-Rate-Limited RS-485/RS-422 Transceivers"               
U2         "RS485 Modulator"                     TopLayer    SOP-8L_(AZRS3080E)             1476.378      2421.260      270      "RS-422/RS-485 Interface IC Low-Power, Slew-Rate-Limited RS-485/RS-422 Transceivers"               
U1         SN74LV4052ADR                         TopLayer    SOIC-16_Narrow                 393.701       1377.953      270      "Multiplexer Switch ICs Dual 4-Ch Analog Mltplxr/Demltplxr"                                        
SW1        PTS526SK08SMTR2LFS                    TopLayer    PTS526_Switch                  -472.441      3976.378      180      "Switch Tactile N.O. SPST Flush Round Button Gull Wing 0.05A 12VDC 200000Cycles 2.45N SMD T/R"     
