Altium Designer Pick and Place Locations
C:\Users\akkoyun\Documents\P101DA\Modules\B152AA\Output\Generate Files\Pick Place\Pick Place for B152AA.txt

========================================================================================================================
File Design Information:

Date:       30.09.22
Time:       11:22
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                              Layer    Footprint          Center-X(mil) Center-Y(mil) Rotation Description                                                                                    "Manufacturer Name"            "Manufacturer Part Number" 
U2         "RS485 Modulator"                    TopLayer SOP-8L_(AZRS3080E) -393.701      78.740        90       "Half-duplex RS485 transceiver."                                                               "Amazing Micro"                AZRS3080E                  
SW3        "Reed Relay"                         TopLayer REED_Relay         1645.669      188.976       90       "Reed relay - SMD 11.7 mm"                                                                     "Ryazan Metal Ceramic"         MKA-10110MS                
SW2        "Reed Relay"                         TopLayer REED_Relay         -1645.669     188.976       90       "Reed relay - SMD 11.7 mm"                                                                     "Ryazan Metal Ceramic"         MKA-10110MS                
U1         "8-bit MicroController"              TopLayer TQFN-32            -826.772      78.740        0        "8-bit Microcontrollers - MCU 32KB In-system Flash 20MHz 1.8V-5.5V"                            "Microchip Technology / Atmel" ATMEGA328P-AU              
SW1        PTS526SK08SMTR2LFS                   TopLayer PTS526_Switch      -1220.473     78.740        90       "Switch Tactile N.O. SPST Flush Round Button Gull Wing 0.05A 12VDC 200000Cycles 2.45N SMD T/R" "C&K Switches"                 PTS526SK08SMTR2LFS         
R26        "47K - 0402 - %1 - 1/16W"            TopLayer RESISTOR_0402      -1141.732     -393.701      180      "Thick Film Resistors - SMD 1/16 W 47 KOhm 1%"                                                 Vishay                         CRCW040247K0FKED           
R25        "47K - 0402 - %1 - 1/16W"            TopLayer RESISTOR_0402      -1141.732     -196.850      0        "Thick Film Resistors - SMD 1/16 W 47 KOhm 1%"                                                 Vishay                         CRCW040247K0FKED           
R24        "47K - 0402 - %1 - 1/16W"            TopLayer RESISTOR_0402      -1299.213     -196.850      0        "Thick Film Resistors - SMD 1/16 W 47 KOhm 1%"                                                 Vishay                         CRCW040247K0FKED           
R23        "47K - 0402 - %1 - 1/16W"            TopLayer RESISTOR_0402      -1299.213     -393.701      180      "Thick Film Resistors - SMD 1/16 W 47 KOhm 1%"                                                 Vishay                         CRCW040247K0FKED           
R22        "47K - 0402 - %1 - 1/16W"            TopLayer RESISTOR_0402      395.000       78.740        90       "Thick Film Resistors - SMD 1/16 W 47 KOhm 1%"                                                 Vishay                         CRCW040247K0FKED           
R21        "47K - 0402 - %1 - 1/16W"            TopLayer RESISTOR_0402      -905.512      314.961       270      "Thick Film Resistors - SMD 1/16 W 47 KOhm 1%"                                                 Vishay                         CRCW040247K0FKED           
R20        "47K - 0402 - %1 - 1/16W"            TopLayer RESISTOR_0402      -669.291      -393.701      180      "Thick Film Resistors - SMD 1/16 W 47 KOhm 1%"                                                 Vishay                         CRCW040247K0FKED           
R19        "47K - 0402 - %1 - 1/16W"            TopLayer RESISTOR_0402      -826.772      -393.701      180      "Thick Film Resistors - SMD 1/16 W 47 KOhm 1%"                                                 Vishay                         CRCW040247K0FKED           
R18        "47K - 0402 - %1 - 1/16W"            TopLayer RESISTOR_0402      -984.252      -393.701      180      "Thick Film Resistors - SMD 1/16 W 47 KOhm 1%"                                                 Vishay                         CRCW040247K0FKED           
