Altium Designer Pick and Place Locations
C:\Users\akkoyun\Documents\Github\WeatherStat-V4-Hardware\P101EA\Modules\B152BA\Output\Pick & Place Output\B152BA\Pick Place for B152BA.csv

========================================================================================================================
File Design Information:

Date:       05.06.23
Time:       13:04
Revision:   068febe07a95f9b71eb676566017213840b5afe3
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"U4","LDO Regulator","TopLayer","TO-252","131.201","-78.740","90","LDO Voltage Regulators 800MA LDO LINEAR REG"
"U2","RS485 Modulator","TopLayer","SOP-8L_(AZRS3080E)","472.441","-78.740","90","RS-422/RS-485 Interface IC Low-Power, Slew-Rate-Limited RS-485/RS-422 Transceivers"
"U1","","TopLayer","TQFN-32","-472.441","-78.740","90","8-bit Microcontrollers - MCU 32KB In-system Flash 20MHz 1.8V-5.5V"
"SW1","","TopLayer","PTS526_Switch","-472.441","314.961","0","Switch Tactile N.O. SPST Flush Round Button Gull Wing 0.05A 12VDC 200000Cycles 2.45N SMD T/R"
"R26","","TopLayer","RESISTOR_0402","1606.299","-236.220","90","Thick Film Resistors - SMD 1/16 W 47 KOhm 1%"
"R25","","TopLayer","RESISTOR_0402","-984.252","-118.110","0","Thick Film Resistors - SMD 1/16 W 47 KOhm 1%"
"R24","","TopLayer","RESISTOR_0402","-905.512","39.370","180","Thick Film Resistors - SMD 1/16 W 47 KOhm 1%"
"R23","","TopLayer","RESISTOR_0402","-1685.039","-236.220","90","Thick Film Resistors - SMD 1/16 W 47 KOhm 1%"
"R20","","TopLayer","RESISTOR_0402","-118.110","236.220","180","Thick Film Resistors - SMD 1/16 W 47 KOhm 1%"
"R19","","TopLayer","RESISTOR_0402","0.000","236.220","180","Thick Film Resistors - SMD 1/16 W 47 KOhm 1%"
"R18","","TopLayer","RESISTOR_0402","118.110","236.220","180","Thick Film Resistors - SMD 1/16 W 47 KOhm 1%"
"R17","","TopLayer","RESISTOR_0402","-118.110","196.850","0","Thick Film Resistors - SMD 1/16 W 4.7 KOhm 1%"
"R16","","TopLayer","RESISTOR_0402","0.000","196.850","0","Thick Film Resistors - SMD 1/16 W 4.7 KOhm 1%"
"R15","","TopLayer","RESISTOR_0402","118.110","196.850","0","Thick Film Resistors - SMD 1/16 W 4.7 KOhm 1%"
"R14","","TopLayer","RESISTOR_0402","-118.110","393.701","0","Thick Film Resistors - SMD 1/16 W 330 Ohm 1%"
"R13","","TopLayer","RESISTOR_0402","0.000","393.701","0","Thick Film Resistors - SMD 1/16 W 330 Ohm 1%"
