Altium Designer Pick and Place Locations
C:\Altium Projects\P101CA\Modules\Electronic\[B106AA]\Design Files\Altium\Output\Fabrication\Generates pick and place files\Pick Place for B106AA.txt

========================================================================================================================
File Design Information:

Date:       11.07.20
Time:       23:30
Revision:   d20e47336419c1affd76ebb8d87e944844b2771c
Variant:    No variations
Units used: mil

Designator Comment                                Layer       Footprint                     Center-X(mil) Center-Y(mil) Rotation Description                                                                                                             
R91        "Thick Film Resistor"                  TopLayer    RESISTOR_0402                 2283.465      5511.811      270      "Thick Film Resistors - SMD 1/16 W 47 Kohms 1%"                                                                         
C139       "Multilayer Ceramic Capacitor"         TopLayer    CAPACITOR_0402                2401.575      5984.252      270      "Capacitor - 33pF [0402] (Ceramic)"                                                                                     
C138       "Multilayer Ceramic Capacitor"         TopLayer    CAPACITOR_0402                2401.575      5511.811      90       "Capacitor - 33pF [0402] (Ceramic)"                                                                                     
C46        "Multilayer Ceramic Capacitor"         TopLayer    CAPACITOR_0402                3937.008      6078.000      360      "Capacitor - 33pF [0402] (Ceramic)"                                                                                     
C120       "Multilayer Ceramic Capacitor"         TopLayer    CAPACITOR_0402                4330.709      6077.362      180      "Capacitor - 33pF [0402] (Ceramic)"                                                                                     
C121       "Multilayer Ceramic Capacitor"         TopLayer    CAPACITOR_0402                4330.709      6127.362      180      "Capacitor - 33pF [0402] (Ceramic)"                                                                                     
C123       "Multilayer Ceramic Capacitor"         TopLayer    CAPACITOR_0402                4330.709      6216.732      180      "Capacitor - 33pF [0402] (Ceramic)"                                                                                     
C122       "Multilayer Ceramic Capacitors"        TopLayer    CAPACITOR_0402                4330.709      6177.362      180      "Capacitor - 470nF [0402] (Ceramic)"                                                                                    
RF1        Antenna                                TopLayer    Connector_IPEX                2785.433      6062.992      90       "MHF Antenna Socket"                                                                                                    
R23        "Thick Film Resistor"                  TopLayer    RESISTOR_0402                 2992.126      6062.992      360      "Thick Film Resistors - SMD 1/16 W 0 Ohms"                                                                              
L3         "Fixed Inductor"                       TopLayer    INDUCTOR_0402                 2874.016      6079.921      270      "Fixed Inductor"                                                                                                        
L2         "Fixed Inductor"                       TopLayer    INDUCTOR_0402                 3110.236      6079.921      270      "Fixed Inductor"                                                                                                        
C57        "Multilayer Ceramic Capacitor"         TopLayer    CAPACITOR_0402                2913.386      6079.921      270      "Capacitor - 1nF [0402] (Ceramic)"                                                                                      
C56        "Multilayer Ceramic Capacitor"         TopLayer    CAPACITOR_0402                3070.866      6079.921      270      "Capacitor - 1nF [0402] (Ceramic)"                                                                                      
J11        "Battery Clip Holder and Battery"      BottomLayer BATTERY_HOLDER_-_CR2032       2165.354      3749.016      180      "Cylindrical Battery Contacts, Clips, Holders & Springs 16MM - 19MM SM BATTERY CLIP"                                    
C33        "Multilayer Ceramic Capacitor"         TopLayer    CAPACITOR_0402                2263.780      5794.488      270      "Capacitor - 100nF [0402-6V3] (Ceramic)"                                                                                
C32        "Multilayer Ceramic Capacitor"         TopLayer    CAPACITOR_0402                2224.409      5701.575      90       "Capacitor - 100nF [0402-6V3] (Ceramic)"                                                                                
U1         "Capacitive Sensor"                    TopLayer    Texas_DNT                     763.000       3210.000      270      "Capacitive Sensor"                                                                                                     
U5         "Board Mount Pressure Sensors"         TopLayer    MPL3115A2                     1968.501      4069.882      0        "Board Mount Pressure Sensors I 2 C VERSION"                                                                            
U17        "I2C Switch IC"                        TopLayer    TSSOP-24                      3543.307      3937.008      0        "Switch ICs - Various 8-Channel I2C Switch"                                                                             
L5         "Fixed Inductor"                       BottomLayer INDUCTOR_1007                 551.181       3068.000      90       "Fixed Inductor"                                                                                                        
L4         "Fixed Inductor"                       BottomLayer INDUCTOR_1007                 551.181       3346.457      90       "Fixed Inductor"                                                                                                        
X2         "7.3728 MHz"                           TopLayer    ABRACON_CRYSTAL               2362.205      2519.685      90       "Crystals 7.3728MHz 18pF -40C +85C"                                                                                     
X1         "7.3728 MHz"                           TopLayer    ABRACON_CRYSTAL               2362.205      3897.638      90       "Crystals 7.3728MHz 18pF -40C +85C"                                                                                     
U18        "Logic Gate (NOR)"                     TopLayer    TSSOP-14                      3543.307      2998.032      0        "Logic Gates Quadruple 2-input NOR gates with Schmitt-trigger inputs 14-TSSOP -40 to 125"                               
U6         "Real Time Clock"                      TopLayer    RV-3028-C7                    1968.504      3832.677      270      "Real Time Clock 32.768kHz I2C Time Acc. 1ppm"                                                                          
U22        "I2C I/O Expander"                     TopLayer    VQFN20                        3543.307      3543.307      360      "Interface - I/O Expanders Remote 8-Bit I/O Expander for I2C-Bus"                                                       
U13        "8-bit MicroController"                TopLayer    TQFP32                        2913.386      2559.055      0        "8-bit Microcontrollers - MCU 32KB In-system Flash 20MHz 1.8V-5.5V"                                                     
U14        "SPI Switch IC"                        TopLayer    TSSOP-16                      2952.756      3110.236      90       "Analogue Switch ICs 2:1 (SPDT), 4-channel switch with 1.8-V logic 16-TSSOP -40 to 125"                                 
U4         "Power Switch"                         TopLayer    SOT-23-6                      1968.504      2440.945      0        "Power Switch MosFet"                                                                                                   
U3         "Nanopower Timer IC"                   TopLayer    SOT-23-6                      1968.504      2598.425      0        "Timers & Support Products Ultra Low Power System Timer (35 nA) for Power Gating in duty cycled applications."          
U12        "8-bit MicroController"                TopLayer    TQFP32                        2913.386      3937.008      0        "8-bit Microcontrollers - MCU 32KB In-system Flash 20MHz 1.8V-5.5V"                                                     
U7         "Voltage Level Shifter"                TopLayer    VQFN16                        2401.575      5748.032      0        "Translation - Voltage Levels Low Power Dual Channel"                                                                   
U19        "Logic Gate (OR)"                      TopLayer    TSSOP-14                      3543.307      2722.441      0        "Logic Gates Quadruple 2-input OR gates with Schmitt-trigger inputs 14-TSSOP -40 to 125"                                
U20        "Logic Gate (NAND)"                    TopLayer    TSSOP-14                      3543.307      2446.850      0        "Logic Gates Quadruple 2-input NAND gates with Schmitt-trigger inputs 14-TSSOP -40 to 125"                              
U11        "MFF2 SIM Chip"                        TopLayer    MFF2                          4133.858      6102.362      180      "SIM Chip MFF2"                                                                                                         
