Description,Comment,Quantity,Designator,Case,Manufacturer_Name,Manufacturer_Part_Number

"Capacitor - 100nF [0402-6V3] (Ceramic)","Multilayer Ceramic Capacitor","39","C1, C5, C7, C8, C11, C12, C26, C28, C29, C32, C33, C42, C43, C44, C48, C49, C50, C58, C61, C70, C71, C72, C79, C80, C83, C84, C85, C88, C89, C90, C91, C98, C106, C107, C108, C110, C115, C116, C117","0402","AVX","04026D104KAT4A"
"Capacitor - 33pF [0402] (Ceramic)","Multilayer Ceramic Capacitor","77","C2, C3, C4, C6, C9, C10, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C27, C30, C31, C37, C38, C39, C46, C47, C51, C52, C53, C54, C59, C60, C63, C64, C65, C66, C67, C69, C73, C74, C75, C76, C77, C78, C81, C82, C92, C93, C94, C95, C96, C97, C102, C104, C109, C111, C112, C118, C119, C120, C121, C123, C124, C125, C126, C127, C128, C129, C130, C131, C132, C133, C134, C135, C138, C139","0402","Kemet","C0402C330J9RACAUTO"
"Capacitor - 1uF [0402] (Ceramic)","Multilayer Ceramic Capacitor","3","C34, C101, C103","0402","Murata Electronics","GRM153R60J105ME95D"
"Capacitor - 13pF [0402] (Ceramic)","Multilayer Ceramic Capacitors","4","C35, C36, C40, C41","0402","Kemet","CBR04C130F5GAC"
"Capacitor - 4.7uF [0402] (Ceramic)","Multilayer Ceramic Capacitors","3","C45, C62, C68","0402","Kemet","C0402C475M9PACTU"
"Capacitor - 470nF [0402] (Ceramic)","Multilayer Ceramic Capacitors","3","C55, C100, C122","0402","AVX","04026C474KAT2A"
"Capacitor - 1nF [0402] (Ceramic)","Multilayer Ceramic Capacitor","2","C56, C57","0402","AVX","04026C102MAT2A"
"Capacitor - 39uF 16V [Can] (Electrolytic)","Aluminium Organic Polymer Capacitors","2","C86, C87","Can","Panasonic","16SVPC39MV"
"Capacitor - 10uF [0603] (Tantalium)","Tantalum Capacitor","3","C99, C113, C114","0603","AVX","F380J106MMAAH3"
"Capacitor - 47uF [0603] (Tantalium)","Tantalum Capacitor","1","C105","0603","AVX","F380J476MMAAXEH3"
"Capacitor - 3300pF [0402] (Ceramic)","Multilayer Ceramic Capacitors","2","C136, C137","0402","Vishay","VJ0402Y332KXQCW1BC"
"TVS Diode (Bi-directional)","ESD Suppressors","12","D1, D9, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19","0402","Bussmann / Eaton","0402ESDA-MLP1"
"Standard LEDs - SMD PICOLEDTM;BLUE LED; 25M @ 5MA","SMD LED (Blue)","7","D2, D3, D4, D5, D6, D7, D8","0402","ROHM Semiconductor","SMLP13BC8TT86"
"Ferrite Beads 0603 100ohms 2000mA Auto Infotainment","Ferrite Bead","2","FB1, FB2","0603","Murata Electronics","BLM18EG101TZ1D"
"Mini Tunic Connector with 2P","2P SMD Tunic Connector","2","J1, J8","","Molex","53261-0271"
"Memory Card Connectors TFR READER (HINGE TYPE)","Memory Card Connectors","1","J2","","Molex","47219-2001"
"Memory Card Connectors ASSY 1.90 SIM CARD R IM CARD READER CONN.","SIM Holder Tray","1","J3","","Molex","47388-2001"
"Mini Tunic Connector with 6P","6P Tunic Connector","3","J4, J5, J7","","Molex","53261-0671"
"Mini Tunic Connector with 4P","4P SMD Tunic Connector","1","J6","SMD","Molex","53261-0471"
