"Net","Name","X Coord","Y Coord","Side","Hole Size","Type"
"I2C_SDA","TP46-1","3602.362mil","4213mil","Top","0mil","Surface mount"
"BAT+","TP6-1","2165.354mil","1014mil","Top","0mil","Surface mount"
"BAT-","TP50-1","4237.638mil","1013.968mil","Top","0mil","Surface mount"
"I2C_ISO1_SDA","TP34-1","3031.496mil","748.032mil","Top","0mil","Surface mount"
"I2C_ISO1_SCL","TP35-1","3031.496mil","590.551mil","Top","0mil","Surface mount"
"NetQ7_2","TP30-1","2834.646mil","433.071mil","Top","0mil","Surface mount"
"SIGNAL_TIMER_DONE","TP28-1","2834.646mil","748.032mil","Top","0mil","Surface mount"
"SIGNAL_TIMER_DRVn","TP29-1","2834.646mil","590.551mil","Top","0mil","Surface mount"
"3V3_Digital","TP25-1","5078.74mil","1612.008mil","Top","0mil","Surface mount"
"VSOLAR","TP41-1","2637.795mil","1208.661mil","Top","0mil","Surface mount"
"VCC","TP27-1","2755.905mil","1208.661mil","Top","0mil","Surface mount"
"NetC64_1","TP26-1","2755.905mil","1692.913mil","Top","0mil","Surface mount"
"NetC47_1","TP21-1","2519.685mil","1692.913mil","Top","0mil","Surface mount"
"NetC60_1","TP23-1","2637.795mil","1692.913mil","Top","0mil","Surface mount"
"3V8","TP38-1","3582.677mil","1375.984mil","Top","0mil","Surface mount"
"GSM_USB_D+","TP15-1","2401.575mil","4921.26mil","Top","0mil","Surface mount"
"GSM_USB_D-","TP20-1","2519.685mil","4921.26mil","Top","0mil","Surface mount"
"GSM_USB_VUSB","TP10-1","2283.465mil","4921.26mil","Top","0mil","Surface mount"
"3V3_Sensor","TP32-1","3248.032mil","3243mil","Top","0mil","Surface mount"
"NetQ7_1","TP76-1","4409.449mil","2598.425mil","Top","0mil","Surface mount"
"MASTER_MOSI","TP33-1","2874.016mil","3503.937mil","Top","0mil","Surface mount"
"MASTER_MISO","TP37-1","2992.126mil","3503.937mil","Top","0mil","Surface mount"
"SIGNAL_TH_INTERUPT","TP72-1","4409.449mil","3070.866mil","Top","0mil","Surface mount"
"SIGNAL_R_INTERUPT","TP73-1","4409.449mil","2952.756mil","Top","0mil","Surface mount"
"SIGNAL_RES_INTERUPT","TP74-1","4409.449mil","2834.646mil","Top","0mil","Surface mount"
"S\I\G\N\A\L\_\P\_\I\N\T\E\R\U\P\T\","TP63-1","4291.339mil","2716.535mil","Top","0mil","Surface mount"
"S\I\G\N\A\L\_\S\T\_\I\N\T\E\R\U\P\T\","TP62-1","4291.339mil","2834.646mil","Top","0mil","Surface mount"
"S\I\G\N\A\L\_\G\A\U\G\E\_\A\L\E\R\T\","TP60-1","4291.339mil","2952.756mil","Top","0mil","Surface mount"
"S\I\G\N\A\L\_\R\T\C\_\I\N\T\E\R\U\P\T\","TP59-1","4291.339mil","3070.866mil","Top","0mil","Surface mount"
"VIOT","TP4-1","2047.244mil","6062.992mil","Top","0mil","Surface mount"
"SIGNAL_IOT_POWER_EN","TP2-1","1929.134mil","6062.992mil","Top","0mil","Surface mount"
"GSM_TX_AUX","TP11-1","2283.465mil","4685.039mil","Top","0mil","Surface mount"
"GSM_RX_AUX","TP16-1","2401.575mil","4685.039mil","Top","0mil","Surface mount"
"MASTER_SCK","TP31-1","3110.236mil","3503.937mil","Top","0mil","Surface mount"
"MASTER_RESET","TP24-1","2755.905mil","3503.937mil","Top","0mil","Surface mount"
"GSM_3V3_PMON","TP18-1","2519.685mil","5393.701mil","Top","0mil","Surface mount"
"GSM_3V3_TX","TP13-1","2401.575mil","5393.701mil","Top","0mil","Surface mount"
"GSM_3V3_RX","TP8-1","2283.465mil","5393.701mil","Top","0mil","Surface mount"
"GSM_1V8_TX","TP14-1","2401.575mil","5157.48mil","Top","0mil","Surface mount"
"GSM_1V8_RX","TP9-1","2283.465mil","5157.48mil","Top","0mil","Surface mount"
"GSM_1V8_PMON","TP19-1","2519.685mil","5157.48mil","Top","0mil","Surface mount"
"SIGNAL_IOT_COM_EN","TP7-1","2263.78mil","5905.512mil","Top","0mil","Surface mount"
"NetC30_2","TP17-1","2480.315mil","2874.016mil","Top","0mil","Surface mount"
"NetC13_2","TP12-1","2362.205mil","2874.016mil","Top","0mil","Surface mount"
"NetC69_2","TP22-1","2598.425mil","2874.016mil","Top","0mil","Surface mount"
"NetJ2_7","TP1-1","1811.024mil","2874.016mil","Top","0mil","Surface mount"
"NetJ2_3","TP5-1","2047.244mil","2874.016mil","Top","0mil","Surface mount"
"NetJ2_5","TP3-1","1929.134mil","2874.016mil","Top","0mil","Surface mount"
"FOTA_DIGITAL_MISO","TP42-1","3720.472mil","3243mil","Top","0mil","Surface mount"
"FOTA_DIGITAL_MOSI","TP45-1","3602.362mil","3243mil","Top","0mil","Surface mount"
"FOTA_DIGITAL_SCK","TP47-1","3484.252mil","3243mil","Top","0mil","Surface mount"
"FOTA_DIGITAL_RESET","TP48-1","3366.142mil","3243mil","Top","0mil","Surface mount"
"GSM_3V3_ONOFF","TP49-1","3976.378mil","4645.669mil","Top","0mil","Surface mount"
"GSM_3V3_SDOWN","TP61-1","4330.709mil","4645.669mil","Top","0mil","Surface mount"
"I2C_SCL_01","TP51-1","4291.339mil","4212.598mil","Top","0mil","Surface mount"
"I2C_SDA_01","TP64-1","4409.449mil","4212.598mil","Top","0mil","Surface mount"
"I2C_SCL_02","TP52-1","4291.339mil","4094.488mil","Top","0mil","Surface mount"
"I2C_SDA_02","TP65-1","4409.449mil","4094.488mil","Top","0mil","Surface mount"
"I2C_SCL_03","TP53-1","4291.339mil","3976.378mil","Top","0mil","Surface mount"
"I2C_SDA_03","TP66-1","4409.449mil","3976.378mil","Top","0mil","Surface mount"
"I2C_SCL_04","TP54-1","4291.339mil","3858.268mil","Top","0mil","Surface mount"
"I2C_SDA_04","TP67-1","4409.449mil","3858.268mil","Top","0mil","Surface mount"
"I2C_SCL_05","TP55-1","4291.339mil","3740.157mil","Top","0mil","Surface mount"
"I2C_SDA_05","TP68-1","4409.449mil","3740.157mil","Top","0mil","Surface mount"
"I2C_SCL_06","TP56-1","4291.339mil","3622.047mil","Top","0mil","Surface mount"
"I2C_SDA_06","TP69-1","4409.449mil","3622.047mil","Top","0mil","Surface mount"
"I2C_SCL_07","TP57-1","4291.339mil","3503.937mil","Top","0mil","Surface mount"
"I2C_SDA_07","TP70-1","4409.449mil","3503.937mil","Top","0mil","Surface mount"
"I2C_SCL_08","TP58-1","4291.339mil","3385.827mil","Top","0mil","Surface mount"
"I2C_SDA_08","TP71-1","4409.449mil","3385.827mil","Top","0mil","Surface mount"
"FOTA_RESET","TP43-1","3425.197mil","2165.354mil","Top","0mil","Surface mount"
"FOTA_SCK","TP40-1","3307.087mil","2165.354mil","Top","0mil","Surface mount"
"FOTA_MISO","TP36-1","3188.976mil","2165mil","Top","0mil","Surface mount"
"FOTA_MOSI","TP39-1","3070.866mil","2165.354mil","Top","0mil","Surface mount"
"SIGNAL_SHOT_INTERUPT","TP75-1","4409.449mil","2716.535mil","Top","0mil","Surface mount"
"I2C_SCL","TP44-1","3484.252mil","4212mil","Top","0mil","Surface mount"
